Strain,Stress
0.117788377,641.253425
0.118289178,642.0644523
0.11878998,640.7054076
0.119290782,642.3652305
0.119791583,644.1496496
0.120292385,644.4723216
0.120793186,645.3538722
0.121293988,647.0579305
0.12179479,646.2401391
0.122295591,647.379038
0.122796393,647.7033278
0.123297194,648.8232649
0.123797996,648.3523943
0.124298798,650.2948203
0.124799599,652.1892291
0.125300401,650.9464845
0.125801202,652.7370664
0.126302004,653.0453969
0.126802806,651.9252045
0.127303607,652.2517713
0.127804409,651.449021
0.12830521,654.0665717
0.128806012,653.6477481
0.129306814,655.185446
0.129807615,655.5136461
0.130308417,654.5656189
0.130809218,656.6272963
0.13131002,656.4992334
0.131810822,658.681984
0.132311623,658.7877774
0.132812425,658.0240723
0.133313226,657.0202358
0.133814028,657.378034
0.13431483,656.1299327
0.134815631,657.7496037
0.135316433,659.1347164
0.135817234,660.7951399
0.136318036,659.6660053
0.136818838,661.47106
0.137319639,661.4969304
0.137820441,663.7057694
0.138321242,662.7587609
0.138822044,662.5774856
0.139322846,662.2197278
0.139823647,664.930653
0.140324449,664.0877345
0.140825251,666.7983452
0.141326052,663.9656789
0.141826854,668.0629605
0.142327655,666.8027286
0.142828457,665.7526992
0.143329259,666.0861927
0.14383006,669.3927988
0.144330862,667.0996244
0.144831663,668.738883
0.145332465,670.7259069
0.145833267,669.8123327
0.146334068,671.0919839
0.14683487,669.5468954
0.147335671,671.2968608
0.147836473,669.358623
0.148337275,672.7443414
0.148838076,670.5262656
0.149338878,670.6945451
0.149839679,670.4368409
0.150340481,673.8662361
0.150841283,671.1086891
0.151342084,674.3467277
0.151842886,674.2294853
0.152343687,674.8113229
0.152844489,674.7438756
0.153345291,674.4565814
0.153846092,674.7675604
0.154346894,675.1324577
0.154847695,676.1993029
0.155348497,678.665186
0.155849299,677.2557444
0.1563501,678.3635032
0.156850902,676.825113
0.157351703,677.3918793
0.157852505,679.8082089
0.158353307,679.5164284
0.158854108,679.8568164
0.15935491,679.9552003
0.159855711,680.6549661
0.160356513,681.3201597
0.160857315,683.089855
0.161358116,682.9784766
0.161858918,682.0745995
0.162359719,685.292797
0.162860521,684.8125156
0.163361323,682.9952333
0.163862124,687.5294664
0.164362926,683.6123586
0.164863727,682.9206456
0.165364529,685.9291758
0.165865331,687.957572
0.166366132,685.1291872
0.166866934,687.0142699
0.167367735,685.6695729
0.167868537,687.7027303
0.168369339,688.0472194
0.16887014,688.3918805
0.169370942,688.736715
0.169871743,689.1051226
0.170372545,691.1208249
0.170873347,689.7722541
0.171374148,691.8134008
0.17187495,693.675008
0.172375752,690.9324499
0.172876553,691.1553949
0.173377355,691.5016132
0.173878156,692.3744283
0.174378958,693.2307869
0.17487976,693.5757458
0.175380561,692.8882222
0.175881363,693.9432647
0.176382164,692.1180536
0.176882966,695.6349909
0.177383768,694.2776112
0.177884569,695.3958662
0.178385371,696.680902
0.178886172,697.0298881
0.179386974,695.9872164
0.179887776,697.929072
0.180388577,699.1250104
0.180889379,697.7642538
0.18139018,698.4848243
0.181890982,697.4139323
0.182391784,699.7457804
0.182892585,698.1128138
0.183393387,698.5141266
0.183894188,698.9701702
0.18439499,700.9618272
0.184895792,702.6750372
0.185396593,701.2540899
0.185897395,702.655855
0.186398196,702.6494456
0.186898998,702.744323
0.1873998,704.2756932
0.187900601,703.3416199
0.188401403,705.3048424
0.188902204,704.046442
0.189403006,705.7715714
0.189903808,704.7519708
0.190404609,703.9131649
0.190905411,706.7117207
0.191406212,708.7187456
0.191907014,706.1651493
0.192407816,706.5529295
0.192908617,710.2600686
0.193409419,708.9602918
0.19391022,708.5072385
0.194411022,710.4049636
0.194911824,708.6195887
0.195412625,710.3819088
0.195913427,707.2622681
